Initialization,Distance,Train SSE,Train homogeneity score,Val homogeneity score,Train Accuracy,Train F1 Score,Val Accuracy,Val F1 Score
forgy,euclidean,67707.46739650622,0.5536467467909361,0.554277293983424,0.608,0.6072739937497715,0.6066666666666667,0.6049342647857376
forgy,manhattan,68268.65097047164,0.5559737558404829,0.5577445964144897,0.6127857142857143,0.6015830013255117,0.6141111111111112,0.602067693154769
random_partition,euclidean,246488.48061258695,0.0,0.0,0.10097619047619047,0.018343028913734565,0.10072222222222223,0.018301115429263617
random_partition,manhattan,66499.12906817629,0.5186601111392896,0.5215609677335161,0.5432857142857143,0.5019247685080884,0.5497777777777778,0.5054582051023877
kmeans++,euclidean,66555.93720848815,0.5479179470309696,0.5529498500079818,0.5889761904761904,0.5816419827366265,0.5942777777777778,0.58479515858095
kmeans++,manhattan,68293.70980283123,0.5571069710384218,0.5545093237442864,0.6209761904761905,0.6224632291878268,0.6181666666666666,0.6184474688527429
