fewer_columns,norm_mode,mse,mae,rsqd
False,unnormalized,55893617186.6819,55893617186.6819,-3582.851533085171
False,normalized,1608210.7519393028,1608210.7519393028,0.8968828846841022
True,unnormalized,2270847.7215724457,2270847.7215724457,0.8543951617735064
True,normalized,2270847.721572452,2270847.721572452,0.854395161773506
