Metric,Weighting,MSE,MAE,RSqrd
Euclidean,Unweighted,635951.985208256,382.59110122358175,0.9592232957558482
Euclidean,Weighted,563379.8705266613,364.23887449964684,0.9638765584636846
Manhattan,Unweighted,604086.4598689904,362.70028426646894,0.9612664863308698
Manhattan,Weighted,538778.2356690402,347.58942801183986,0.9654539945152181
Hamming,Unweighted,8910508.857362501,1733.4845383759734,0.4286656967937891
Hamming,Weighted,7989406.883392856,1543.057764913164,0.48772597751445534
